epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
54,155.1,0.73581,1.0456,0.66591,0.96464,0,0.88071,0.70689,0.78221,0.5961,0.84677,0.65882,0.71693,0.4878,0.88639,1.40199,0.82395,0.94566,0,0.000594125,0.000594125,0.000594125
55,158.107,0.73065,1.08288,0.62379,0.95921,0,0.85323,0.74512,0.80794,0.61111,0.78439,0.69678,0.74458,0.51096,0.87546,1.3429,0.79767,0.94175,0,0.00058175,0.00058175,0.00058175
56,161.118,0.74382,1.09571,0.64324,0.95404,0,0.88231,0.7042,0.8091,0.61098,0.81076,0.68032,0.74968,0.52633,0.90753,1.36291,0.81507,0.94794,0,0.000569375,0.000569375,0.000569375
57,164.143,0.75719,1.0664,0.65125,0.9756,0,0.85081,0.73134,0.79978,0.60522,0.84433,0.66661,0.7269,0.49325,0.91697,1.40803,0.82723,0.96481,0,0.000557,0.000557,0.000557
58,167.147,0.74415,1.04221,0.63851,0.95496,0,0.87392,0.69909,0.78781,0.59541,0.8239,0.65653,0.72466,0.49148,0.90728,1.34975,0.80295,0.94935,0,0.000544625,0.000544625,0.000544625
59,169.98,0.73721,1.08805,0.63394,0.97182,0,0.87885,0.70028,0.79856,0.59639,0.83821,0.66184,0.72611,0.48845,0.88751,1.35313,0.79771,0.93481,0,0.00053225,0.00053225,0.00053225
60,172.847,0.73355,1.04999,0.65922,0.96056,0,0.86718,0.73977,0.80039,0.61013,0.81929,0.69992,0.73768,0.50388,0.86364,1.34039,0.7837,0.9159,0,0.000519875,0.000519875,0.000519875
61,175.769,0.71069,1.07197,0.6198,0.94414,0,0.83222,0.72838,0.78814,0.60886,0.78078,0.68218,0.7086,0.48245,0.87555,1.35684,0.78553,0.93914,0,0.0005075,0.0005075,0.0005075
62,178.785,0.70462,1.02844,0.65092,0.96334,0,0.83647,0.73367,0.78511,0.60742,0.78348,0.68468,0.69407,0.48347,0.85588,1.40792,0.79338,0.93447,0,0.000495125,0.000495125,0.000495125
63,181.746,0.71185,1.08396,0.62553,0.94834,0,0.86648,0.72766,0.79505,0.60717,0.80941,0.67345,0.69474,0.4752,0.85523,1.30703,0.77375,0.91417,0,0.00048275,0.00048275,0.00048275
64,184.637,0.71696,0.97693,0.62092,0.95278,0,0.89322,0.74171,0.79233,0.61477,0.82997,0.69079,0.70624,0.49618,0.84272,1.37055,0.75783,0.90434,0,0.000470375,0.000470375,0.000470375
65,187.615,0.73567,1.0467,0.61242,0.94308,0,0.86438,0.74812,0.7919,0.61057,0.81958,0.6891,0.71037,0.48323,0.84861,1.40684,0.77494,0.90847,0,0.000458,0.000458,0.000458
66,190.471,0.71059,1.07526,0.61722,0.94864,0,0.8972,0.71422,0.79189,0.61378,0.84501,0.67949,0.72339,0.50226,0.84683,1.39779,0.77524,0.92323,0,0.000445625,0.000445625,0.000445625
67,193.261,0.66508,0.97358,0.58622,0.93143,0,0.91025,0.70902,0.80205,0.63086,0.85897,0.66612,0.73427,0.51811,0.83314,1.35128,0.74881,0.91567,0,0.00043325,0.00043325,0.00043325
68,196.036,0.65498,0.99567,0.57649,0.93097,0,0.83771,0.7595,0.81085,0.6331,0.77377,0.71186,0.73614,0.51717,0.84044,1.36541,0.75231,0.92025,0,0.000420875,0.000420875,0.000420875
